iter	Passed	Remaining
0	103	154510
1	182	136566
2	262	131093
3	355	133006
4	470	140594
5	555	138227
6	659	140754
7	758	141522
8	850	140935
9	932	138909
10	1000	135397
11	1060	131506
12	1121	128288
13	1210	128461
14	1286	127354
15	1362	126416
16	1439	125614
17	1513	124570
18	1575	122821
19	1653	122393
20	1730	121868
21	1795	120618
22	1872	120236
23	1955	120283
24	2030	119787
25	2124	120465
26	2192	119626
27	2263	119009
28	2379	120689
29	2470	121062
30	2543	120518
31	2608	119642
32	2698	119960
33	2766	119287
34	2845	119093
35	2924	118942
36	2987	118128
37	3053	117463
38	3121	116927
39	3190	116446
40	3275	116550
41	3351	116347
42	3418	115832
43	3488	115440
44	3573	115531
45	3663	115812
46	3760	116268
47	3968	120058
48	4032	119416
49	4111	119226
50	4180	118770
51	4258	118572
52	4314	117784
53	4383	117388
54	4447	116834
55	4510	116310
56	4569	115669
57	4652	115664
58	4727	115454
59	4788	114924
60	4856	114561
61	4922	114167
62	4991	113846
63	5052	113359
64	5124	113122
65	5183	112615
66	5249	112282
67	5311	111862
68	5383	111647
69	5447	111286
70	5521	111124
71	5587	110811
72	5658	110607
73	5720	110226
74	5784	109908
75	5853	109684
76	5918	109376
77	5983	109080
78	6048	108790
79	6109	108448
80	6205	108715
81	6274	108504
82	6338	108217
83	6408	108020
84	6472	107744
85	6535	107453
86	6594	107095
87	6662	106907
88	6730	106698
89	6797	106497
90	6858	106188
91	6925	105991
92	6988	105727
93	7050	105461
94	7112	105186
95	7178	104982
96	7259	105003
97	7328	104848
98	7400	104723
99	7505	105077
100	7577	104965
101	7648	104834
102	7727	104813
103	7812	104869
104	7883	104742
105	7955	104628
106	8024	104473
107	8086	104230
108	8181	104407
109	8334	105321
110	8434	105550
111	8496	105295
112	8563	105106
113	8641	105065
114	8710	104904
115	8776	104715
116	8854	104660
117	8915	104421
118	8982	104247
119	9083	104455
120	9182	104655
121	9262	104622
122	9359	104783
123	9436	104713
124	9507	104581
125	9593	104619
126	9678	104635
127	9843	105508
128	9921	105440
129	9983	105215
130	10046	104988
131	10123	104915
132	10188	104723
133	10251	104504
134	10343	104584
135	10437	104677
136	10495	104414
137	10552	104149
138	10625	104042
139	10698	103924
140	10763	103737
141	10867	103930
142	10933	103755
143	11038	103946
144	11142	104127
145	11253	104367
146	11348	104456
147	11415	104284
148	11481	104108
149	11543	103890
150	11613	103754
151	11682	103605
152	11746	103412
153	11841	103497
154	11931	103536
155	11996	103357
156	12055	103120
157	12119	102939
158	12189	102809
159	12250	102596
160	12315	102429
161	12372	102190
162	12439	102034
163	12517	101975
164	12597	101926
165	12658	101729
166	12730	101613
167	12798	101475
168	12861	101294
169	12917	101062
170	12994	100991
171	13065	100880
172	13131	100728
173	13212	100685
174	13275	100516
175	13349	100427
176	13426	100358
177	13492	100207
178	13554	100030
179	13632	99973
180	13699	99829
181	13783	99815
182	13862	99764
183	13928	99619
184	13983	99395
185	14064	99359
186	14134	99247
187	14195	99063
188	14270	98990
189	14346	98913
190	14410	98764
191	14477	98627
192	14555	98568
193	14622	98439
194	14684	98271
195	14780	98335
196	14853	98246
197	14943	98264
198	15014	98162
199	15082	98034
200	15144	97873
201	15210	97740
202	15275	97598
203	15340	97456
204	15412	97361
205	15484	97265
206	15544	97098
207	15617	97005
208	15701	96987
209	15782	96948
210	15849	96822
211	15933	96802
212	16026	96835
213	16096	96727
214	16159	96579
215	16245	96571
216	16308	96426
217	16367	96252
218	16441	96173
219	16500	96000
220	16583	95971
221	16667	95949
222	16726	95781
223	16792	95656
224	16859	95536
225	16941	95499
226	17006	95369
227	17075	95263
228	17148	95176
229	17207	95014
230	17267	94858
231	17349	94822
232	17428	94771
233	17516	94771
234	17579	94630
235	17648	94523
236	17708	94370
237	17796	94366
238	17883	94355
239	17945	94212
240	18002	94043
241	18070	93935
242	18127	93772
243	18184	93603
244	18270	93592
245	18329	93434
246	18393	93309
247	18456	93173
248	18531	93104
249	18596	92981
250	18673	92920
251	18741	92812
252	18845	92888
253	18911	92772
254	19019	92861
255	19130	92963
256	19222	92971
257	19288	92856
258	19356	92748
259	19434	92685
260	19497	92557
261	19569	92469
262	19638	92370
263	19703	92248
264	19770	92136
265	19862	92145
266	19936	92064
267	20005	91967
268	20066	91826
269	20138	91741
270	20217	91686
271	20290	91604
272	20370	91555
273	20440	91458
274	20502	91330
275	20574	91243
276	20646	91159
277	20716	91063
278	20804	91047
279	20868	90927
280	20936	90824
281	21003	90716
282	21068	90601
283	21146	90541
284	21217	90454
285	21281	90333
286	21353	90251
287	21427	90176
288	21499	90088
289	21578	90035
290	21683	90087
291	21793	90158
292	21881	90138
293	21965	90101
294	22060	90110
295	22200	90303
296	22277	90233
297	22356	90178
298	22439	90131
299	22536	90145
300	22655	90247
301	22860	90684
302	22979	90780
303	23072	90771
304	23173	90794
305	23272	90808
306	23338	90691
307	23404	90577
308	23480	90502
309	23571	90485
310	23640	90380
311	23720	90320
312	23808	90288
313	23884	90212
314	23947	90088
315	24016	89985
316	24096	89926
317	24178	89871
318	24245	89762
319	24327	89709
320	24395	89603
321	24482	89564
322	24559	89493
323	24636	89421
324	24700	89302
325	24795	89295
326	24863	89188
327	24931	89085
328	24996	88967
329	25056	88835
330	25127	88743
331	25209	88688
332	25266	88548
333	25326	88415
334	25388	88290
335	25454	88180
336	25533	88117
337	25720	88425
338	25849	88529
339	25922	88439
340	26014	88418
341	26092	88346
342	26161	88248
343	26226	88133
344	26335	88167
345	26407	88077
346	26512	88096
347	26591	88026
348	26653	87903
349	26731	87831
350	26829	87828
351	26911	87769
352	26983	87678
353	27052	87576
354	27131	87509
355	27268	87625
356	27386	87681
357	27481	87665
358	27589	87686
359	27672	87630
360	27768	87612
361	27867	87605
362	27956	87565
363	28028	87474
364	28110	87412
365	28177	87304
366	28255	87229
367	28329	87144
368	28408	87071
369	28470	86951
370	28553	86890
371	28629	86812
372	28702	86724
373	28790	86680
374	28854	86564
375	28913	86433
376	28991	86357
377	29055	86243
378	29123	86141
379	29206	86082
380	29275	85981
381	29347	85891
382	29434	85844
383	29494	85719
384	29569	85635
385	29637	85533
386	29696	85406
387	29764	85303
388	29828	85192
389	29911	85133
390	29977	85026
391	30046	84928
392	30120	84842
393	30192	84754
394	30266	84669
395	30338	84578
396	30395	84450
397	30450	84311
398	30525	84231
399	30584	84107
400	30642	83981
401	30706	83869
402	30783	83795
403	30849	83691
404	30918	83593
405	30986	83495
406	31058	83407
407	31117	83284
